Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
1,2338929.394,114398.323,-106.112,T01_1,-77.88110114,34.05906199,-106.112,0.033,0.033,0.033,0.046,6.345,ft,FIX,2022-09-19 09:14:47.4 UTC-04:00,2022-09-19 09:14:47.4 UTC-04:00,1,1.1,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,566.555,NAD83(2011) / North Carolina
2,2338944.822,114394.087,-114.937,T01_2,-77.88105037,34.05904988,-114.937,0.033,0.033,0.033,0.046,6.345,ft,FIX,2022-09-19 09:15:14.8 UTC-04:00,2022-09-19 09:15:14.8 UTC-04:00,1,1.1,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,569.507,NAD83(2011) / North Carolina
3,2338969.034,114388.546,-115.893,T01_3,-77.88097065,34.05903391,-115.893,0.033,0.033,0.033,0.046,6.345,ft,FIX,2022-09-19 09:15:53.2 UTC-04:00,2022-09-19 09:15:53.2 UTC-04:00,1,1.1,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,576.054,NAD83(2011) / North Carolina
4,2338991.312,114384.072,-116.898,T01_4,-77.88089727,34.05902092,-116.898,0.033,0.033,0.033,0.046,6.345,ft,FIX,2022-09-19 09:16:11.0 UTC-04:00,2022-09-19 09:16:11.0 UTC-04:00,1,1.1,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,583.482,NAD83(2011) / North Carolina
5,2338997.532,114382.336,-117.158,T01_5,-77.88087680,34.05901596,-117.158,0.033,0.033,0.033,0.046,6.345,ft,FIX,2022-09-19 09:16:24.0 UTC-04:00,2022-09-19 09:16:24.0 UTC-04:00,1,1.1,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,585.285,NAD83(2011) / North Carolina
6,2339008.960,114380.837,-116.664,T01_6,-77.88083914,34.05901149,-116.664,0.033,0.033,0.033,0.046,6.345,ft,FIX,2022-09-19 09:16:43.8 UTC-04:00,2022-09-19 09:16:43.8 UTC-04:00,1,1.1,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,590.176,NAD83(2011) / North Carolina
7,2339026.846,114377.121,-116.065,T01_7,-77.88078023,34.05900072,-116.065,0.033,0.033,0.033,0.046,6.345,ft,FIX,2022-09-19 09:17:00.6 UTC-04:00,2022-09-19 09:17:00.6 UTC-04:00,1,1.1,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,597.073,NAD83(2011) / North Carolina
8,2339052.968,114370.320,-115.510,T01_8,-77.88069426,34.05898123,-115.510,0.033,0.033,0.036,0.046,6.345,ft,FIX,2022-09-19 09:17:23.0 UTC-04:00,2022-09-19 09:17:23.0 UTC-04:00,1,1.1,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,606.898,NAD83(2011) / North Carolina
9,2339067.077,114366.040,-116.225,T01_9,-77.88064784,34.05896903,-116.225,0.033,0.033,0.033,0.046,6.345,ft,FIX,2022-09-19 09:17:41.2 UTC-04:00,2022-09-19 09:17:41.2 UTC-04:00,1,1.1,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,612.161,NAD83(2011) / North Carolina
10,2339089.107,114358.460,-115.441,T01_10,-77.88057540,34.05894753,-115.441,0.033,0.033,0.039,0.046,6.345,ft,FIX,2022-09-19 09:18:00.6 UTC-04:00,2022-09-19 09:18:00.6 UTC-04:00,1,1.1,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,620.302,NAD83(2011) / North Carolina
11,2339099.123,114356.438,-115.995,T01_11,-77.88054241,34.05894166,-115.995,0.033,0.033,0.036,0.046,6.345,ft,FIX,2022-09-19 09:18:16.0 UTC-04:00,2022-09-19 09:18:16.0 UTC-04:00,1,1.1,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,625.329,NAD83(2011) / North Carolina
12,2339108.961,114353.100,-117.121,T01_12,-77.88051006,34.05893218,-117.121,0.033,0.033,0.036,0.046,6.345,ft,FIX,2022-09-19 09:18:30.6 UTC-04:00,2022-09-19 09:18:30.6 UTC-04:00,1,1.1,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,629.388,NAD83(2011) / North Carolina
13,2339117.758,114349.954,-118.045,T01_13,-77.88048114,34.05892327,-118.045,0.033,0.033,0.039,0.046,6.345,ft,FIX,2022-09-19 09:18:48.8 UTC-04:00,2022-09-19 09:18:48.8 UTC-04:00,1,1.1,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,633.023,NAD83(2011) / North Carolina
14,2339128.923,114346.708,-119.109,T01_14,-77.88044441,34.05891400,-119.109,0.033,0.033,0.033,0.046,6.345,ft,FIX,2022-09-19 09:19:07.0 UTC-04:00,2022-09-19 09:19:07.0 UTC-04:00,1,1.1,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,638.343,NAD83(2011) / North Carolina
15,2339146.536,114342.281,-120.207,T01_15,-77.88038643,34.05890130,-120.207,0.033,0.033,0.033,0.046,6.345,ft,FIX,2022-09-19 09:19:28.6 UTC-04:00,2022-09-19 09:19:28.6 UTC-04:00,1,1.1,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,647.557,NAD83(2011) / North Carolina
16,2339169.520,114335.232,-121.702,T01_16,-77.88031082,34.05888122,-121.702,0.033,0.033,0.033,0.046,6.345,ft,FIX,2022-09-19 09:19:44.4 UTC-04:00,2022-09-19 09:19:44.4 UTC-04:00,1,1.1,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,659.276,NAD83(2011) / North Carolina
17,2339193.785,114329.265,-123.302,T01_17,-77.88023095,34.05886407,-123.302,0.033,0.033,0.043,0.046,6.345,ft,FIX,2022-09-19 09:20:15.2 UTC-04:00,2022-09-19 09:20:15.2 UTC-04:00,1,1.1,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,673.333,NAD83(2011) / North Carolina
18,2339221.305,114326.334,-124.749,T01_18,-77.88014021,34.05885517,-124.749,0.033,0.033,0.033,0.046,6.345,ft,FIX,2022-09-19 09:20:34.6 UTC-04:00,2022-09-19 09:20:34.6 UTC-04:00,1,1.1,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,692.452,NAD83(2011) / North Carolina
19,2338820.322,113320.627,-115.656,TurtleNest,-77.88150127,34.05610448,-115.656,0.033,0.033,0.049,0.046,6.345,ft,FIX,2022-09-19 09:26:09.4 UTC-04:00,2022-09-19 09:26:09.4 UTC-04:00,1,1.2,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,581.375,NAD83(2011) / North Carolina
20,2338304.553,111984.774,-110.345,T02_1,-77.88325339,34.05245028,-110.345,0.033,0.033,0.039,0.046,6.345,ft,FIX,2022-09-19 09:35:34.0 UTC-04:00,2022-09-19 09:35:34.0 UTC-04:00,1,1.2,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,1939.489,NAD83(2011) / North Carolina
21,2338323.100,111977.138,-111.856,T02_2,-77.88319245,34.05242873,-111.856,0.033,0.033,0.036,0.046,6.345,ft,FIX,2022-09-19 09:35:53.0 UTC-04:00,2022-09-19 09:35:53.0 UTC-04:00,1,1.2,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,1943.419,NAD83(2011) / North Carolina
22,2338335.884,111972.515,-113.017,T02_3,-77.88315043,34.05241563,-113.017,0.033,0.033,0.039,0.046,6.345,ft,FIX,2022-09-19 09:36:08.2 UTC-04:00,2022-09-19 09:36:08.2 UTC-04:00,1,1.2,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,1945.615,NAD83(2011) / North Carolina
23,2338355.072,111965.370,-113.102,T02_4,-77.88308736,34.05239541,-113.102,0.033,0.033,0.039,0.046,6.345,ft,FIX,2022-09-19 09:36:24.8 UTC-04:00,2022-09-19 09:36:24.8 UTC-04:00,1,1.2,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,1949.289,NAD83(2011) / North Carolina
24,2338376.928,111956.727,-113.194,T02_5,-77.88301554,34.05237099,-113.194,0.033,0.033,0.043,0.046,6.345,ft,FIX,2022-09-19 09:36:41.0 UTC-04:00,2022-09-19 09:36:41.0 UTC-04:00,1,1.2,2338686.547,113886.454,-107.497,-77.88192181,34.05766319,-107.497,1954.224,NAD83(2011) / North Carolina
