Location,Profile,Date,Time_UTC,Method,X,Y,Z_NAVD88,DBL
Carolina Beach,CB_01,20150329,17:00:51,Topo,2338770.93,114407.36,9.18,-48.66
Carolina Beach,CB_01,20150329,17:00:53,Topo,2338774.07,114406.47,9.01,-45.4
Carolina Beach,CB_01,20150329,17:00:54,Topo,2338776.83,114405.96,8.93,-42.6
Carolina Beach,CB_01,20150329,17:00:55,Topo,2338780.27,114405.64,8.84,-39.18
Carolina Beach,CB_01,20150329,17:00:56,Topo,2338783.04,114405.05,8.77,-36.35
Carolina Beach,CB_01,20150329,17:00:57,Topo,2338785.84,114404.82,8.8,-33.58
Carolina Beach,CB_01,20150329,17:00:57,Topo,2338788.92,114404.31,8.95,-30.47
Carolina Beach,CB_01,20150329,17:00:58,Topo,2338791.93,114403.75,9.12,-27.41
Carolina Beach,CB_01,20150329,17:00:59,Topo,2338794.67,114402.9,9.48,-24.55
Carolina Beach,CB_01,20150329,17:01:00,Topo,2338797.42,114401.78,9.99,-21.61
Carolina Beach,CB_01,20150329,17:01:02,Topo,2338800.37,114400.41,10.38,-18.41
Carolina Beach,CB_01,20150329,17:01:03,Topo,2338802.95,114399.31,11.15,-15.64
Carolina Beach,CB_01,20150329,17:01:05,Topo,2338805.9,114398.55,12.15,-12.6
Carolina Beach,CB_01,20150329,17:01:07,Topo,2338809.08,114398.99,13.2,-9.62
Carolina Beach,CB_01,20150329,17:01:08,Topo,2338812.28,114398.93,12.57,-6.5
Carolina Beach,CB_01,20150329,17:01:09,Topo,2338815.16,114397.39,11.33,-3.33
Carolina Beach,CB_01,20150329,17:01:10,Topo,2338817.71,114396.48,10.52,-0.64
Carolina Beach,CB_01,20150329,17:01:13,Topo,2338820.36,114394.74,9.75,2.35
Carolina Beach,CB_01,20150329,17:01:18,Topo,2338823.56,114394.6,9.21,5.49
Carolina Beach,CB_01,20150329,17:01:19,Topo,2338826.39,114393.97,8.74,8.39
Carolina Beach,CB_01,20150329,17:01:19,Topo,2338829.68,114393.6,8.62,11.67
Carolina Beach,CB_01,20150329,17:01:20,Topo,2338832.53,114392.67,8.56,14.66
Carolina Beach,CB_01,20150329,17:01:21,Topo,2338835.16,114391.93,8.55,17.39
Carolina Beach,CB_01,20150329,17:01:21,Topo,2338837.94,114390.81,8.5,20.36
Carolina Beach,CB_01,20150329,17:01:22,Topo,2338840.95,114390,8.44,23.48
Carolina Beach,CB_01,20150329,17:01:23,Topo,2338843.96,114389.29,8.39,26.57
Carolina Beach,CB_01,20150329,17:01:24,Topo,2338846.89,114388.41,8.31,29.63
Carolina Beach,CB_01,20150329,17:01:24,Topo,2338849.86,114387.72,8.24,32.68
Carolina Beach,CB_01,20150329,17:01:25,Topo,2338852.7,114386.62,8.24,35.7
Carolina Beach,CB_01,20150329,17:01:26,Topo,2338855.32,114385.91,8.27,38.41
Carolina Beach,CB_01,20150329,17:01:26,Topo,2338858.21,114384.66,8.39,41.52
Carolina Beach,CB_01,20150329,17:01:27,Topo,2338861.27,114384.2,8.66,44.6
Carolina Beach,CB_01,20150329,17:01:28,Topo,2338864.17,114383.92,9.52,47.48
Carolina Beach,CB_01,20150329,17:01:30,Topo,2338867.19,114384.07,11.72,50.37
Carolina Beach,CB_01,20150329,17:01:32,Topo,2338870.13,114383.28,11.66,53.42
Carolina Beach,CB_01,20150329,17:01:32,Topo,2338873.17,114382.55,10.84,56.54
Carolina Beach,CB_01,20150329,17:01:33,Topo,2338876.13,114382.39,10.44,59.46
Carolina Beach,CB_01,20150329,17:01:34,Topo,2338878.98,114381.45,10.15,62.45
Carolina Beach,CB_01,20150329,17:01:35,Topo,2338881.96,114380.39,9.56,65.6
Carolina Beach,CB_01,20150329,17:01:35,Topo,2338884.62,114379.5,9.29,68.39
Carolina Beach,CB_01,20150329,17:01:36,Topo,2338887.49,114378.13,9.02,71.51
Carolina Beach,CB_01,20150329,17:01:37,Topo,2338890.46,114377.22,8.97,74.61
Carolina Beach,CB_01,20150329,17:01:38,Topo,2338893.33,114376.47,9.04,77.58
Carolina Beach,CB_01,20150329,17:01:38,Topo,2338896.13,114376.12,9.17,80.38
Carolina Beach,CB_01,20150329,17:01:39,Topo,2338899.07,114375.46,9.38,83.39
Carolina Beach,CB_01,20150329,17:01:40,Topo,2338901.81,114374.21,9.46,86.35
Carolina Beach,CB_01,20150329,17:01:41,Topo,2338904.82,114373.75,9.57,89.38
Carolina Beach,CB_01,20150329,17:01:42,Topo,2338907.88,114373.79,9.43,92.34
Carolina Beach,CB_01,20150329,17:01:43,Topo,2338911.09,114373.5,9.27,95.53
Carolina Beach,CB_01,20150329,17:01:44,Topo,2338914.25,114373.33,9.28,98.63
Carolina Beach,CB_01,20150329,17:01:45,Topo,2338917.32,114372.92,9.3,101.71
Carolina Beach,CB_01,20150329,17:01:46,Topo,2338920.06,114372.21,8.99,104.54
Carolina Beach,CB_01,20150329,17:01:46,Topo,2338923.06,114371.96,8.71,107.51
Carolina Beach,CB_01,20150329,17:01:47,Topo,2338926.03,114371.14,8.58,110.59
Carolina Beach,CB_01,20150329,17:01:48,Topo,2338928.97,114370.57,8.62,113.59
Carolina Beach,CB_01,20150329,17:01:49,Topo,2338931.66,114369.33,8.88,116.5
Carolina Beach,CB_01,20150329,17:01:50,Topo,2338934.32,114368.07,9.53,119.38
Carolina Beach,CB_01,20150329,17:01:54,Topo,2338937.09,114366.71,11.14,122.4
Carolina Beach,CB_01,20150329,17:01:56,Topo,2338940.03,114366.01,12.5,125.42
Carolina Beach,CB_01,20150329,17:01:58,Topo,2338942.68,114364.47,13.59,128.36
Carolina Beach,CB_01,20150329,17:02:00,Topo,2338945.58,114363.67,14.29,131.37
Carolina Beach,CB_01,20150329,17:02:01,Topo,2338948.8,114363.58,14.43,134.52
Carolina Beach,CB_01,20150329,17:02:02,Topo,2338951.92,114363.88,13.44,137.47
Carolina Beach,CB_01,20150329,17:02:03,Topo,2338955.08,114363.27,12.25,140.69
Carolina Beach,CB_01,20150329,17:02:04,Topo,2338957.79,114362.32,11.16,143.55
Carolina Beach,CB_01,20150329,17:02:05,Topo,2338960.37,114360.93,10.11,146.38
Carolina Beach,CB_01,20150329,17:02:06,Topo,2338963.01,114358.88,8.48,149.44
Carolina Beach,CB_01,20150329,17:02:07,Topo,2338965.8,114357.42,7.71,152.5
Carolina Beach,CB_01,20150329,17:02:08,Topo,2338968.72,114357.17,7.35,155.4
Carolina Beach,CB_01,20150329,17:02:09,Topo,2338971.85,114356.79,7.11,158.53
Carolina Beach,CB_01,20150329,17:02:09,Topo,2338974.88,114356.38,6.92,161.56
Carolina Beach,CB_01,20150329,17:02:10,Topo,2338978.03,114356.32,6.74,164.64
Carolina Beach,CB_01,20150329,17:02:11,Topo,2338980.99,114355.92,6.51,167.6
Carolina Beach,CB_01,20150329,17:02:12,Topo,2338983.71,114355.43,6.28,170.36
Carolina Beach,CB_01,20150329,17:02:13,Topo,2338986.63,114354.76,5.83,173.36
Carolina Beach,CB_01,20150329,17:02:13,Topo,2338989.78,114353.59,5.32,176.7
Carolina Beach,CB_01,20150329,17:02:14,Topo,2338992.73,114352.72,4.94,179.77
Carolina Beach,CB_01,20150329,17:02:15,Topo,2338995.28,114351.94,4.64,182.43
Carolina Beach,CB_01,20150329,17:02:15,Topo,2338998.06,114350.69,4.37,185.43
Carolina Beach,CB_01,20150329,17:02:16,Topo,2339001.02,114349.65,4.14,188.56
Carolina Beach,CB_01,20150329,17:02:17,Topo,2339003.98,114348.5,3.97,191.71
Carolina Beach,CB_01,20150329,17:02:18,Topo,2339006.48,114347.58,3.77,194.35
Carolina Beach,CB_01,20150329,17:02:19,Topo,2339009.37,114346.64,3.58,197.39
Carolina Beach,CB_01,20150329,17:02:19,Topo,2339012.15,114345.44,3.33,200.37
Carolina Beach,CB_01,20150329,17:02:20,Topo,2339015.35,114345.09,3.12,203.56
Carolina Beach,CB_01,20150329,17:02:21,Topo,2339018.68,114345.35,2.97,206.73
Carolina Beach,CB_01,20150329,17:02:22,Topo,2339021.58,114345.54,2.83,209.5
Carolina Beach,CB_01,20150329,17:02:23,Topo,2339024.83,114345.88,2.71,212.57
Carolina Beach,CB_01,20150329,17:02:23,Topo,2339027.68,114345.62,2.62,215.4
Carolina Beach,CB_01,20150329,17:02:24,Topo,2339030.83,114344.98,2.59,218.61
Carolina Beach,CB_01,20150329,17:02:25,Topo,2339033.54,114344.24,2.52,221.42
Carolina Beach,CB_01,20150329,17:02:26,Topo,2339036.5,114343.1,2.51,224.57
Carolina Beach,CB_01,20150330,10:58:27,Topo,2339039.42,114341.67,2.49,227.75
Carolina Beach,CB_01,20150330,10:58:28,Topo,2339042.38,114340.87,2.51,230.81
Carolina Beach,CB_01,20150330,10:58:28,Topo,2339045.16,114340.12,2.43,233.69
Carolina Beach,CB_01,20150330,10:58:29,Topo,2339047.72,114339.27,2.39,236.38
Carolina Beach,CB_01,20150330,10:58:30,Topo,2339050.76,114338.54,2.26,239.51
Carolina Beach,CB_01,20150330,10:58:30,Topo,2339053.8,114337.65,2.13,242.67
Carolina Beach,CB_01,20150330,10:58:31,Topo,2339056.8,114337.04,2.07,245.73
Carolina Beach,CB_01,20150330,10:58:31,Topo,2339059.83,114336.43,2,248.82
Carolina Beach,CB_01,20150330,10:58:32,Topo,2339062.76,114335.68,1.84,251.84
Carolina Beach,CB_01,20150330,10:58:33,Topo,2339065.46,114335.1,1.72,254.6
Carolina Beach,CB_01,20150330,10:58:33,Topo,2339068.23,114334.32,1.57,257.48
Carolina Beach,CB_01,20150330,10:58:34,Topo,2339071.51,114333.43,1.32,260.88
Carolina Beach,CB_01,20150330,10:58:34,Topo,2339074.37,114332.64,1.09,263.84
Carolina Beach,CB_01,20150330,10:58:35,Topo,2339077.12,114331.99,0.84,266.67
Carolina Beach,CB_01,20150330,10:58:35,Topo,2339079.85,114331.25,0.63,269.5
Carolina Beach,CB_01,20150330,10:58:36,Topo,2339082.96,114330.6,0.35,272.67
Carolina Beach,CB_01,20150330,10:58:36,Topo,2339085.72,114330.18,0.16,275.45
Carolina Beach,CB_01,20150330,10:58:37,Topo,2339088.89,114329.34,-0.06,278.73
Carolina Beach,CB_01,20150330,10:58:37,Topo,2339091.56,114328.7,-0.23,281.47
Carolina Beach,CB_01,20150330,10:58:38,Topo,2339094.72,114327.63,-0.49,284.8
Carolina Beach,CB_01,20150330,10:58:38,Topo,2339097.33,114326.96,-0.68,287.49
Carolina Beach,CB_01,20150330,10:58:39,Topo,2339100.46,114326.19,-0.86,290.72
Carolina Beach,CB_01,20150330,10:58:40,Topo,2339103.12,114325.61,-0.99,293.44
Carolina Beach,CB_01,20150330,10:58:40,Topo,2339106.19,114325.03,-1.13,296.56
Carolina Beach,CB_01,20150330,10:58:41,Topo,2339109.24,114324.14,-1.31,299.73
Carolina Beach,CB_01,20150330,10:58:41,Topo,2339111.83,114323.49,-1.42,302.4
Carolina Beach,CB_01,20150330,10:58:42,Topo,2339114.91,114322.54,-1.57,305.62
Carolina Beach,CB_01,20150330,10:58:42,Topo,2339117.91,114321.96,-1.73,308.67
Carolina Beach,CB_01,20150330,10:58:43,Topo,2339120.84,114321.31,-1.89,311.67
Carolina Beach,CB_01,20150330,10:58:44,Topo,2339123.69,114320.55,-2.03,314.62
Carolina Beach,CB_01,20150330,10:58:44,Topo,2339126.48,114320.1,-2.18,317.44
Carolina Beach,CB_01,20150330,10:58:45,Topo,2339129.55,114319.01,-2.31,320.68
Carolina Beach,CB_01,20150330,10:58:46,Topo,2339132.57,114318.37,-2.42,323.77
Carolina Beach,CB_01,20150330,10:58:46,Topo,2339135.23,114317.8,-2.55,326.48
Carolina Beach,CB_01,20150330,10:58:47,Topo,2339138.39,114317.3,-2.71,329.67
Carolina Beach,CB_01,20150330,10:58:47,Topo,2339141.07,114316.88,-2.87,332.37
Carolina Beach,CB_01,20150330,10:58:48,Topo,2339144.16,114316.03,-3.09,335.58
Carolina Beach,CB_01,20150330,10:58:49,Topo,2339147.06,114316.04,-3.18,338.39
Carolina Beach,CB_01,20150330,10:58:50,Topo,2339149.93,114315.27,-3.27,341.36
Carolina Beach,CB_01,20150330,10:58:51,Topo,2339152.87,114314.59,-3.41,344.38
Carolina Beach,CB_01,20150330,10:58:52,Topo,2339156.15,114313.97,-3.6,347.71
Carolina Beach,CB_01,20150330,10:58:53,Topo,2339158.82,114313.52,-3.76,350.41
Carolina Beach,CB_01,20150330,11:32:10,Hydro,2339165.9,114335.49,-3.81,351.96
Carolina Beach,CB_01,20150330,10:58:54,Topo,2339161.67,114311.71,-3.85,353.61
Carolina Beach,CB_01,20150330,11:32:12,Hydro,2339166.22,114319.78,-4.05,356.08
Carolina Beach,CB_01,20150330,11:32:13,Hydro,2339170.39,114315.25,-4.32,361.22
Carolina Beach,CB_01,20150330,11:32:14,Hydro,2339174.71,114313.24,-4.81,365.9
Carolina Beach,CB_01,20150330,11:32:15,Hydro,2339179.7,114312.2,-4.99,370.99
Carolina Beach,CB_01,20150330,11:32:15,Hydro,2339184.69,114310.87,-5.34,376.15
Carolina Beach,CB_01,20150330,11:32:16,Hydro,2339189.49,114309.56,-5.58,381.13
Carolina Beach,CB_01,20150330,10:59:07,Topo,2339190.6,114304.8,-5.62,383.36
Carolina Beach,CB_01,20150330,11:32:16,Hydro,2339194.47,114308.22,-5.75,386.28
Carolina Beach,CB_01,20150330,11:32:17,Hydro,2339199.42,114307.4,-5.92,391.28
Carolina Beach,CB_01,20150330,11:32:18,Hydro,2339204.44,114307.32,-6.09,396.17
Carolina Beach,CB_01,20150330,11:32:18,Hydro,2339209.58,114307.91,-6.21,401.02
Carolina Beach,CB_01,20150330,11:32:19,Hydro,2339214.72,114308.16,-6.28,405.95
Carolina Beach,CB_01,20150330,11:32:20,Hydro,2339219.67,114307.23,-6.32,410.97
Carolina Beach,CB_01,20150330,11:32:20,Hydro,2339224.44,114305.21,-6.41,416.09
Carolina Beach,CB_01,20150330,11:32:21,Hydro,2339228.81,114302.84,-6.54,420.9
Carolina Beach,CB_01,20150330,11:32:21,Hydro,2339233.68,114300.06,-6.55,426.3
Carolina Beach,CB_01,20150330,11:32:22,Hydro,2339238.29,114297.93,-6.62,431.29
Carolina Beach,CB_01,20150330,11:32:22,Hydro,2339242.82,114296.16,-6.7,436.11
Carolina Beach,CB_01,20150330,11:32:23,Hydro,2339247.31,114294.26,-6.75,440.93
Carolina Beach,CB_01,20150330,11:32:23,Hydro,2339252.39,114292.09,-6.88,446.38
Carolina Beach,CB_01,20150330,11:32:24,Hydro,2339256.73,114290.73,-6.92,450.92
Carolina Beach,CB_01,20150330,11:32:24,Hydro,2339261.67,114289.33,-6.95,456.06
Carolina Beach,CB_01,20150330,11:32:25,Hydro,2339266.39,114287.97,-7.07,460.97
Carolina Beach,CB_01,20150330,11:32:26,Hydro,2339271.63,114286.7,-7.04,466.36
Carolina Beach,CB_01,20150330,11:32:26,Hydro,2339276.37,114285.37,-6.99,471.28
Carolina Beach,CB_01,20150330,11:32:27,Hydro,2339281.2,114284,-6.93,476.3
Carolina Beach,CB_01,20150330,11:32:27,Hydro,2339285.85,114283,-6.89,481.05
Carolina Beach,CB_01,20150330,11:32:28,Hydro,2339290.78,114281.4,-6.92,486.22
Carolina Beach,CB_01,20150330,11:32:28,Hydro,2339295.58,114279.62,-6.96,491.31
Carolina Beach,CB_01,20150330,11:32:29,Hydro,2339299.92,114278.06,-6.98,495.9
Carolina Beach,CB_01,20150330,11:32:29,Hydro,2339304.98,114276.31,-6.88,501.23
Carolina Beach,CB_01,20150330,11:32:30,Hydro,2339309.46,114274.5,-6.8,506.01
Carolina Beach,CB_01,20150330,11:32:30,Hydro,2339313.98,114272.21,-6.7,510.95
Carolina Beach,CB_01,20150330,11:32:31,Hydro,2339318.65,114269.91,-6.55,516.04
Carolina Beach,CB_01,20150330,11:32:32,Hydro,2339323.32,114267.61,-6.41,521.13
Carolina Beach,CB_01,20150330,11:32:32,Hydro,2339327.99,114265.78,-6.27,526.1
