Location,Profile,Method,Date,Time_UTC,X,Y,Z_NAVD88,DBL
Carolina Beach,CB_01,Topo,20200511,14:06:34,2338770.62,114408.01,9.21,-49.12
Carolina Beach,CB_01,Topo,20200511,14:06:35,2338773.32,114407.34,9.12,-46.34
Carolina Beach,CB_01,Topo,20200511,14:06:36,2338776.21,114406.42,9.04,-43.31
Carolina Beach,CB_01,Topo,20200511,14:06:37,2338779.39,114405.38,9.01,-39.97
Carolina Beach,CB_01,Topo,20200511,14:06:38,2338782.02,114404.46,9.05,-37.2
Carolina Beach,CB_01,Topo,20200511,14:06:38,2338784.94,114403.97,9.11,-34.25
Carolina Beach,CB_01,Topo,20200511,14:06:39,2338787.94,114403.41,9.24,-31.2
Carolina Beach,CB_01,Topo,20200511,14:06:40,2338790.76,114402.26,9.63,-28.19
Carolina Beach,CB_01,Topo,20200511,14:06:41,2338793.49,114401.21,10,-25.28
Carolina Beach,CB_01,Topo,20200511,14:06:42,2338796.55,114401.04,10.3,-22.27
Carolina Beach,CB_01,Topo,20200511,14:06:43,2338799.77,114401.26,10.74,-19.2
Carolina Beach,CB_01,Topo,20200511,14:06:44,2338802.72,114401.32,11.48,-16.35
Carolina Beach,CB_01,Topo,20200511,14:06:46,2338805.69,114400.29,13.28,-13.22
Carolina Beach,CB_01,Topo,20200511,14:06:48,2338808.21,114398.37,15.18,-10.31
Carolina Beach,CB_01,Topo,20200511,14:06:49,2338810.97,114396.5,13.79,-7.18
Carolina Beach,CB_01,Topo,20200511,14:06:50,2338813.93,114395.77,12.06,-4.13
Carolina Beach,CB_01,Topo,20200511,14:06:51,2338817.01,114395.58,10.86,-1.1
Carolina Beach,CB_01,Topo,20200511,14:06:52,2338820.09,114394.99,10.09,2.03
Carolina Beach,CB_01,Topo,20200511,14:06:53,2338822.67,114394.38,9.58,4.68
Carolina Beach,CB_01,Topo,20200511,14:06:53,2338825.8,114393.66,9.14,7.89
Carolina Beach,CB_01,Topo,20200511,14:06:54,2338828.73,114392.43,8.85,11.03
