%
% BHI-E (33.868400 N -77.939600 E)
% The BHI-E buoy is a Sofar Spotter wave buoy located approximately one-half mile off the east side of Bald Head Island, anchored in 24 ft of water. The buoy provides wave height, wave direction and wave period data, as well as sea surface temperature. The buoy transmits data once an hour. This station is not a permanent station and is being used to evaluate new technologies in ocean wave measurement. This buoy is supported through a partnership between CORMP, the UNCW Center for Marine Science and the Departments of Earth and Ocean Sciences and Physics and Physical Oceanography. Funding was provided by the UNCW College of Arts and Sciences. Please use caution when boating in the vicinity of the buoy.
%
% BHI-E Mean wave direction (deg N) @ 0 m (depth)
%
Time (America/New_York),BHI-E Mean wave direction (deg N),BHI-E Mean wave direction (deg N) quality
2021-09-22 00:09,108.23,not evaluated
2021-09-22 00:39,109.31,not evaluated
2021-09-22 01:09,109.43,not evaluated
2021-09-22 01:39,110.01,not evaluated
2021-09-22 02:09,111.74,not evaluated
2021-09-22 02:39,115.24,not evaluated
2021-09-22 03:09,112.14,not evaluated
2021-09-22 03:39,114.25,not evaluated
2021-09-22 04:09,111.36,not evaluated
2021-09-22 04:39,110.25,not evaluated
2021-09-22 05:09,113.13,not evaluated
2021-09-22 05:39,112.82,not evaluated
2021-09-22 06:09,112.62,not evaluated
2021-09-22 06:39,114.04,not evaluated
2021-09-22 07:09,112.63,not evaluated
2021-09-22 07:39,109.26,not evaluated
2021-09-22 08:09,113.35,not evaluated
2021-09-22 08:39,113.47,not evaluated
2021-09-22 09:09,115.48,not evaluated
2021-09-22 09:39,114.17,not evaluated
2021-09-22 10:09,111.51,not evaluated
2021-09-22 10:39,107.09,not evaluated
2021-09-22 11:09,120.37,not evaluated
2021-09-22 11:39,117.81,not evaluated
2021-09-22 12:09,122.53,not evaluated
2021-09-22 12:39,121.00,not evaluated
2021-09-22 13:09,120.67,not evaluated
2021-09-22 13:39,118.00,not evaluated
2021-09-22 14:09,119.22,not evaluated
2021-09-22 14:39,119.36,not evaluated
2021-09-22 15:09,118.46,not evaluated
2021-09-22 15:39,115.98,not evaluated
2021-09-22 16:09,116.11,not evaluated
2021-09-22 16:39,112.91,not evaluated
2021-09-22 17:09,113.01,not evaluated
2021-09-22 17:39,112.29,not evaluated
2021-09-22 18:09,111.34,not evaluated
2021-09-22 18:39,109.48,not evaluated
2021-09-22 19:09,110.34,not evaluated
2021-09-22 19:39,112.14,not evaluated
2021-09-22 20:09,113.92,not evaluated
2021-09-22 20:39,113.17,not evaluated
2021-09-22 21:09,113.88,not evaluated
2021-09-22 21:39,115.86,not evaluated
2021-09-22 22:09,115.27,not evaluated
2021-09-22 22:39,119.75,not evaluated
2021-09-22 23:09,119.19,not evaluated
2021-09-22 23:39,121.02,not evaluated
2021-09-23 00:09,121.62,not evaluated
2021-09-23 00:39,121.54,not evaluated
2021-09-23 01:09,118.59,not evaluated
2021-09-23 01:39,116.53,not evaluated
2021-09-23 02:09,116.01,not evaluated
2021-09-23 02:39,119.87,not evaluated
2021-09-23 03:09,120.11,not evaluated
2021-09-23 03:39,116.67,not evaluated
2021-09-23 04:09,113.97,not evaluated
2021-09-23 04:39,118.02,not evaluated
2021-09-23 05:09,117.61,not evaluated
2021-09-23 05:39,115.07,not evaluated
2021-09-23 06:09,116.12,not evaluated
2021-09-23 06:39,112.69,not evaluated
2021-09-23 07:09,113.95,not evaluated
2021-09-23 07:39,114.29,not evaluated
2021-09-23 08:09,114.48,not evaluated
2021-09-23 08:39,114.81,not evaluated
2021-09-23 09:09,116.71,not evaluated
2021-09-23 09:39,118.34,not evaluated
2021-09-23 10:09,117.71,not evaluated
2021-09-23 10:39,115.73,not evaluated
2021-09-23 11:09,117.55,not evaluated
2021-09-23 11:39,116.80,not evaluated
2021-09-23 12:09,112.61,not evaluated
2021-09-23 12:39,110.35,not evaluated
2021-09-23 13:09,106.10,not evaluated
2021-09-23 13:39,106.10,not evaluated
2021-09-23 14:09,104.47,not evaluated
2021-09-23 14:39,102.78,not evaluated
2021-09-23 15:09,104.68,not evaluated
2021-09-23 15:39,103.35,not evaluated
2021-09-23 16:09,104.92,not evaluated
2021-09-23 16:39,105.68,not evaluated
2021-09-23 17:09,106.56,not evaluated
2021-09-23 17:39,108.35,not evaluated
2021-09-23 18:09,110.73,not evaluated
2021-09-23 18:39,108.27,not evaluated
2021-09-23 19:09,106.01,not evaluated
2021-09-23 19:39,105.45,not evaluated
2021-09-23 20:09,105.39,not evaluated
2021-09-23 20:39,100.70,not evaluated
2021-09-23 21:09,100.05,not evaluated
2021-09-23 21:39,98.05,not evaluated
2021-09-23 22:09,99.52,not evaluated
2021-09-23 22:39,99.89,not evaluated
2021-09-23 23:09,100.15,not evaluated
2021-09-23 23:39,101.22,not evaluated
2021-09-24 00:09,97.60,not evaluated
2021-09-24 00:39,96.03,not evaluated
2021-09-24 01:09,94.70,not evaluated
2021-09-24 01:39,95.42,not evaluated
2021-09-24 02:09,89.58,not evaluated
2021-09-24 02:39,88.99,not evaluated
2021-09-24 03:09,84.82,not evaluated
2021-09-24 03:39,89.32,not evaluated
2021-09-24 04:09,83.46,not evaluated
2021-09-24 04:39,84.01,not evaluated
2021-09-24 05:09,77.47,not evaluated
2021-09-24 05:39,79.33,not evaluated
2021-09-24 06:09,80.67,not evaluated
2021-09-24 06:39,79.55,not evaluated
2021-09-24 07:09,81.95,not evaluated
2021-09-24 07:39,84.41,not evaluated
2021-09-24 08:09,83.18,not evaluated
2021-09-24 08:39,84.42,not evaluated
2021-09-24 09:09,83.47,not evaluated
2021-09-24 09:39,83.00,not evaluated
2021-09-24 10:09,82.89,not evaluated
2021-09-24 10:39,79.89,not evaluated
2021-09-24 11:09,82.78,not evaluated
2021-09-24 11:39,82.77,not evaluated
2021-09-24 12:09,83.23,not evaluated
2021-09-24 12:39,84.55,not evaluated
2021-09-24 13:09,83.87,not evaluated
2021-09-24 13:39,86.53,not evaluated
2021-09-24 14:09,89.92,not evaluated
2021-09-24 14:39,89.61,not evaluated
2021-09-24 15:09,89.92,not evaluated
2021-09-24 15:39,93.65,not evaluated
2021-09-24 16:09,94.06,not evaluated
2021-09-24 16:39,97.29,not evaluated
2021-09-24 17:09,96.87,not evaluated
2021-09-24 17:39,96.75,not evaluated
2021-09-24 18:09,95.73,not evaluated
