%
% BHI-E (33.868400 N -77.939600 E)
% The BHI-E buoy is a Sofar Spotter wave buoy located approximately one-half mile off the east side of Bald Head Island, anchored in 24 ft of water. The buoy provides wave height, wave direction and wave period data, as well as sea surface temperature. The buoy transmits data once an hour. This station is not a permanent station and is being used to evaluate new technologies in ocean wave measurement. This buoy is supported through a partnership between CORMP, the UNCW Center for Marine Science and the Departments of Earth and Ocean Sciences and Physics and Physical Oceanography. Funding was provided by the UNCW College of Arts and Sciences. Please use caution when boating in the vicinity of the buoy.
%
% BHI-E Peak wave direction (deg N) @ 0 m (depth)
%
Time (America/New_York),BHI-E Peak wave direction (deg N),BHI-E Peak wave direction (deg N) quality
2021-09-22 00:09,110.11,not evaluated
2021-09-22 00:39,107.66,not evaluated
2021-09-22 01:09,111.85,not evaluated
2021-09-22 01:39,108.89,not evaluated
2021-09-22 02:09,101.62,not evaluated
2021-09-22 02:39,111.85,not evaluated
2021-09-22 03:09,104.38,not evaluated
2021-09-22 03:39,113.73,not evaluated
2021-09-22 04:09,106.76,not evaluated
2021-09-22 04:39,108.53,not evaluated
2021-09-22 05:09,108.66,not evaluated
2021-09-22 05:39,107.04,not evaluated
2021-09-22 06:09,113.22,not evaluated
2021-09-22 06:39,112.45,not evaluated
2021-09-22 07:09,116.97,not evaluated
2021-09-22 07:39,107.51,not evaluated
2021-09-22 08:09,114.09,not evaluated
2021-09-22 08:39,111.47,not evaluated
2021-09-22 09:09,110.99,not evaluated
2021-09-22 09:39,111.50,not evaluated
2021-09-22 10:09,108.15,not evaluated
2021-09-22 10:39,54.22,not evaluated
2021-09-22 11:09,107.66,not evaluated
2021-09-22 11:39,110.64,not evaluated
2021-09-22 12:09,120.72,not evaluated
2021-09-22 12:39,119.89,not evaluated
2021-09-22 13:09,116.56,not evaluated
2021-09-22 13:39,110.79,not evaluated
2021-09-22 14:09,115.92,not evaluated
2021-09-22 14:39,111.93,not evaluated
2021-09-22 15:09,116.42,not evaluated
2021-09-22 15:39,114.80,not evaluated
2021-09-22 16:09,114.23,not evaluated
2021-09-22 16:39,110.78,not evaluated
2021-09-22 17:09,110.66,not evaluated
2021-09-22 17:39,114.74,not evaluated
2021-09-22 18:09,109.67,not evaluated
2021-09-22 18:39,112.75,not evaluated
2021-09-22 19:09,106.81,not evaluated
2021-09-22 19:39,109.13,not evaluated
2021-09-22 20:09,113.06,not evaluated
2021-09-22 20:39,106.87,not evaluated
2021-09-22 21:09,103.17,not evaluated
2021-09-22 21:39,110.25,not evaluated
2021-09-22 22:09,108.19,not evaluated
2021-09-22 22:39,109.20,not evaluated
2021-09-22 23:09,107.23,not evaluated
2021-09-22 23:39,106.81,not evaluated
2021-09-23 00:09,106.59,not evaluated
2021-09-23 00:39,106.93,not evaluated
2021-09-23 01:09,108.36,not evaluated
