%
% BHI-E (33.868400 N -77.939600 E)
% The BHI-E buoy is a Sofar Spotter wave buoy located approximately one-half mile off the east side of Bald Head Island, anchored in 24 ft of water. The buoy provides wave height, wave direction and wave period data, as well as sea surface temperature. The buoy transmits data once an hour. This station is not a permanent station and is being used to evaluate new technologies in ocean wave measurement. This buoy is supported through a partnership between CORMP, the UNCW Center for Marine Science and the Departments of Earth and Ocean Sciences and Physics and Physical Oceanography. Funding was provided by the UNCW College of Arts and Sciences. Please use caution when boating in the vicinity of the buoy.
%
% BHI-E Peak wave period (s) @ 0 m (depth)
%
Time (America/New_York),BHI-E Peak wave period (s),BHI-E Peak wave period (s) quality
2021-09-22 00:09,7.30,not evaluated
2021-09-22 00:39,6.82,not evaluated
2021-09-22 01:09,7.30,not evaluated
2021-09-22 01:39,7.30,not evaluated
2021-09-22 02:09,6.02,not evaluated
2021-09-22 02:39,7.30,not evaluated
2021-09-22 03:09,6.82,not evaluated
2021-09-22 03:39,6.82,not evaluated
2021-09-22 04:09,6.40,not evaluated
2021-09-22 04:39,6.82,not evaluated
2021-09-22 05:09,6.40,not evaluated
2021-09-22 05:39,6.40,not evaluated
2021-09-22 06:09,6.40,not evaluated
2021-09-22 06:39,6.40,not evaluated
2021-09-22 07:09,6.82,not evaluated
2021-09-22 07:39,6.82,not evaluated
2021-09-22 08:09,5.38,not evaluated
2021-09-22 08:39,6.40,not evaluated
2021-09-22 09:09,6.82,not evaluated
2021-09-22 09:39,6.02,not evaluated
2021-09-22 10:09,6.82,not evaluated
2021-09-22 10:39,25.60,not evaluated
2021-09-22 11:09,6.40,not evaluated
2021-09-22 11:39,6.02,not evaluated
2021-09-22 12:09,5.68,not evaluated
2021-09-22 12:39,6.02,not evaluated
2021-09-22 13:09,6.40,not evaluated
2021-09-22 13:39,6.40,not evaluated
2021-09-22 14:09,6.82,not evaluated
2021-09-22 14:39,6.40,not evaluated
2021-09-22 15:09,6.40,not evaluated
2021-09-22 15:39,6.82,not evaluated
2021-09-22 16:09,6.40,not evaluated
2021-09-22 16:39,6.82,not evaluated
2021-09-22 17:09,6.82,not evaluated
2021-09-22 17:39,6.82,not evaluated
2021-09-22 18:09,6.40,not evaluated
2021-09-22 18:39,6.82,not evaluated
2021-09-22 19:09,6.40,not evaluated
2021-09-22 19:39,6.82,not evaluated
2021-09-22 20:09,7.30,not evaluated
2021-09-22 20:39,6.82,not evaluated
2021-09-22 21:09,7.30,not evaluated
2021-09-22 21:39,7.30,not evaluated
2021-09-22 22:09,7.30,not evaluated
2021-09-22 22:39,7.30,not evaluated
2021-09-22 23:09,7.30,not evaluated
2021-09-22 23:39,6.82,not evaluated
2021-09-23 00:09,6.82,not evaluated
2021-09-23 00:39,6.82,not evaluated
2021-09-23 01:09,6.82,not evaluated
2021-09-23 01:39,6.82,not evaluated
2021-09-23 02:09,6.82,not evaluated
2021-09-23 02:39,6.82,not evaluated
2021-09-23 03:09,6.82,not evaluated
2021-09-23 03:39,6.82,not evaluated
2021-09-23 04:09,11.36,not evaluated
2021-09-23 04:39,11.36,not evaluated
2021-09-23 05:09,6.40,not evaluated
2021-09-23 05:39,11.36,not evaluated
2021-09-23 06:09,11.36,not evaluated
2021-09-23 06:39,11.36,not evaluated
2021-09-23 07:09,6.82,not evaluated
2021-09-23 07:39,11.36,not evaluated
2021-09-23 08:09,11.36,not evaluated
2021-09-23 08:39,5.68,not evaluated
2021-09-23 09:09,11.36,not evaluated
2021-09-23 09:39,11.36,not evaluated
2021-09-23 10:09,11.36,not evaluated
2021-09-23 10:39,11.36,not evaluated
2021-09-23 11:09,11.36,not evaluated
2021-09-23 11:39,11.36,not evaluated
2021-09-23 12:09,6.82,not evaluated
2021-09-23 12:39,7.86,not evaluated
2021-09-23 13:09,11.36,not evaluated
2021-09-23 13:39,11.36,not evaluated
2021-09-23 14:09,11.36,not evaluated
2021-09-23 14:39,10.24,not evaluated
2021-09-23 15:09,7.30,not evaluated
2021-09-23 15:39,7.86,not evaluated
2021-09-23 16:09,10.24,not evaluated
2021-09-23 16:39,10.24,not evaluated
2021-09-23 17:09,10.24,not evaluated
2021-09-23 17:39,10.24,not evaluated
2021-09-23 18:09,10.24,not evaluated
2021-09-23 18:39,10.24,not evaluated
2021-09-23 19:09,10.24,not evaluated
2021-09-23 19:39,10.24,not evaluated
2021-09-23 20:09,10.24,not evaluated
2021-09-23 20:39,10.24,not evaluated
2021-09-23 21:09,10.24,not evaluated
2021-09-23 21:39,10.24,not evaluated
2021-09-23 22:09,10.24,not evaluated
2021-09-23 22:39,10.24,not evaluated
2021-09-23 23:09,10.24,not evaluated
2021-09-23 23:39,10.24,not evaluated
2021-09-24 00:09,10.24,not evaluated
2021-09-24 00:39,10.24,not evaluated
2021-09-24 01:09,10.24,not evaluated
2021-09-24 01:39,10.24,not evaluated
2021-09-24 02:09,10.24,not evaluated
2021-09-24 02:39,10.24,not evaluated
2021-09-24 03:09,10.24,not evaluated
2021-09-24 03:39,9.30,not evaluated
2021-09-24 04:09,9.30,not evaluated
2021-09-24 04:39,9.30,not evaluated
2021-09-24 05:09,9.30,not evaluated
2021-09-24 05:39,4.26,not evaluated
2021-09-24 06:09,4.86,not evaluated
2021-09-24 06:39,4.64,not evaluated
2021-09-24 07:09,5.12,not evaluated
2021-09-24 07:39,4.64,not evaluated
2021-09-24 08:09,4.64,not evaluated
2021-09-24 08:39,5.68,not evaluated
2021-09-24 09:09,9.30,not evaluated
2021-09-24 09:39,4.86,not evaluated
2021-09-24 10:09,9.30,not evaluated
2021-09-24 10:39,7.86,not evaluated
2021-09-24 11:09,9.30,not evaluated
2021-09-24 11:39,9.30,not evaluated
2021-09-24 12:09,8.52,not evaluated
2021-09-24 12:39,9.30,not evaluated
2021-09-24 13:09,9.30,not evaluated
2021-09-24 13:39,9.30,not evaluated
2021-09-24 14:09,9.30,not evaluated
2021-09-24 14:39,7.86,not evaluated
2021-09-24 15:09,8.52,not evaluated
2021-09-24 15:39,9.30,not evaluated
2021-09-24 16:09,8.52,not evaluated
2021-09-24 16:39,7.86,not evaluated
2021-09-24 17:09,8.52,not evaluated
2021-09-24 17:39,8.52,not evaluated
2021-09-24 18:09,8.52,not evaluated
2021-09-24 18:39,7.86,not evaluated
2021-09-24 19:09,7.86,not evaluated
2021-09-24 19:39,8.52,not evaluated
2021-09-24 20:09,8.52,not evaluated
2021-09-24 20:39,7.86,not evaluated
2021-09-24 21:09,8.52,not evaluated
2021-09-24 21:39,8.52,not evaluated
2021-09-24 22:09,8.52,not evaluated
2021-09-24 22:39,8.52,not evaluated
2021-09-24 23:09,7.86,not evaluated
2021-09-24 23:39,8.52,not evaluated
2021-09-25 00:09,7.86,not evaluated
2021-09-25 00:39,7.86,not evaluated
2021-09-25 01:09,7.86,not evaluated
2021-09-25 01:39,7.86,not evaluated
2021-09-25 02:09,8.52,not evaluated
2021-09-25 02:39,8.52,not evaluated
2021-09-25 03:09,8.52,not evaluated
2021-09-25 03:39,7.86,not evaluated
2021-09-25 04:09,7.86,not evaluated
2021-09-25 04:39,7.86,not evaluated
2021-09-25 05:09,7.86,not evaluated
2021-09-25 05:39,8.52,not evaluated
2021-09-25 06:09,7.86,not evaluated
2021-09-25 06:39,7.86,not evaluated
2021-09-25 07:09,7.86,not evaluated
2021-09-25 07:39,7.86,not evaluated
2021-09-25 08:09,7.86,not evaluated
