%
% MASE-01 (34.142700 N -77.832600 E)
% The MASE-01 buoy is a Sofar Spotter wave buoy located approximately one-half mile off Masonboro Island, anchored in 24 ft of water. The buoy provides wave height, wave direction and wave period data, as well as sea surface temperature. The buoy transmits data once an hour. This station is not a permanent station and is being used to evaluate new technologies in ocean wave measurement. This buoy is supported through a partnership between CORMP, the UNCW Center for Marine Science and the Departments of Earth and Ocean Sciences and Physics and Physical Oceanography. Funding was provided by the UNCW College of Arts and Sciences. Please use caution when boating in the vicinity of the buoy.
%
% MASE-01 Mean wave direction (deg N) @ 0 m (depth)
%
Time (America/New_York),MASE-01 Mean wave direction (deg N),MASE-01 Mean wave direction (deg N) quality
2021-09-22 00:06,115.38,not evaluated
2021-09-22 00:36,117.53,not evaluated
2021-09-22 01:06,118.10,not evaluated
2021-09-22 01:36,119.97,not evaluated
2021-09-22 02:06,116.76,not evaluated
2021-09-22 02:36,115.17,not evaluated
2021-09-22 03:06,113.91,not evaluated
2021-09-22 03:36,112.16,not evaluated
2021-09-22 04:06,113.07,not evaluated
2021-09-22 04:36,111.36,not evaluated
2021-09-22 05:06,113.18,not evaluated
2021-09-22 05:36,115.49,not evaluated
2021-09-22 06:06,113.57,not evaluated
2021-09-22 06:36,105.00,not evaluated
2021-09-22 07:06,120.15,not evaluated
2021-09-22 07:36,114.47,not evaluated
2021-09-22 08:06,113.87,not evaluated
2021-09-22 08:36,118.38,not evaluated
2021-09-22 09:06,114.64,not evaluated
2021-09-22 09:36,118.04,not evaluated
2021-09-22 10:06,121.25,not evaluated
2021-09-22 10:36,123.67,not evaluated
2021-09-22 11:06,120.17,not evaluated
2021-09-22 11:36,120.47,not evaluated
2021-09-22 12:06,121.70,not evaluated
2021-09-22 12:36,124.59,not evaluated
2021-09-22 13:06,125.22,not evaluated
2021-09-22 13:36,124.95,not evaluated
2021-09-22 14:06,126.35,not evaluated
2021-09-22 14:36,125.60,not evaluated
2021-09-22 15:06,129.26,not evaluated
2021-09-22 15:36,124.87,not evaluated
2021-09-22 16:06,127.90,not evaluated
2021-09-22 16:36,127.89,not evaluated
2021-09-22 17:06,126.43,not evaluated
2021-09-22 17:36,125.52,not evaluated
2021-09-22 18:06,122.34,not evaluated
2021-09-22 18:36,121.80,not evaluated
2021-09-22 19:06,119.12,not evaluated
2021-09-22 19:36,119.59,not evaluated
2021-09-22 20:06,117.81,not evaluated
2021-09-22 20:36,116.60,not evaluated
2021-09-22 21:06,120.91,not evaluated
2021-09-22 21:36,119.41,not evaluated
2021-09-22 22:06,121.08,not evaluated
2021-09-22 22:36,123.78,not evaluated
2021-09-22 23:06,125.94,not evaluated
2021-09-22 23:36,127.23,not evaluated
2021-09-23 00:06,125.98,not evaluated
2021-09-23 00:36,127.15,not evaluated
2021-09-23 01:06,129.88,not evaluated
2021-09-23 01:36,128.18,not evaluated
2021-09-23 02:06,126.22,not evaluated
2021-09-23 02:36,124.95,not evaluated
2021-09-23 03:06,126.64,not evaluated
2021-09-23 03:36,124.40,not evaluated
2021-09-23 04:06,124.16,not evaluated
2021-09-23 04:36,121.69,not evaluated
2021-09-23 05:06,124.01,not evaluated
2021-09-23 05:36,126.09,not evaluated
2021-09-23 06:06,124.39,not evaluated
2021-09-23 06:36,125.17,not evaluated
2021-09-23 07:06,125.41,not evaluated
2021-09-23 07:36,123.79,not evaluated
2021-09-23 08:06,122.75,not evaluated
2021-09-23 08:36,125.79,not evaluated
2021-09-23 09:06,127.11,not evaluated
2021-09-23 09:36,127.28,not evaluated
2021-09-23 10:06,126.27,not evaluated
2021-09-23 10:36,126.97,not evaluated
2021-09-23 11:06,128.47,not evaluated
2021-09-23 11:36,125.46,not evaluated
2021-09-23 12:06,123.81,not evaluated
2021-09-23 12:36,124.68,not evaluated
2021-09-23 13:06,120.20,not evaluated
2021-09-23 13:36,119.20,not evaluated
2021-09-23 14:06,116.84,not evaluated
2021-09-23 14:36,117.75,not evaluated
2021-09-23 15:06,117.14,not evaluated
2021-09-23 15:36,116.69,not evaluated
2021-09-23 16:06,116.08,not evaluated
2021-09-23 16:36,116.09,not evaluated
2021-09-23 17:06,117.13,not evaluated
2021-09-23 17:36,116.47,not evaluated
2021-09-23 18:06,116.66,not evaluated
2021-09-23 18:36,115.98,not evaluated
2021-09-23 19:06,115.86,not evaluated
2021-09-23 19:36,112.62,not evaluated
2021-09-23 20:06,117.54,not evaluated
2021-09-23 20:36,116.56,not evaluated
2021-09-23 21:06,114.37,not evaluated
2021-09-23 21:36,113.31,not evaluated
2021-09-23 22:06,113.44,not evaluated
2021-09-23 22:36,116.00,not evaluated
2021-09-23 23:06,113.78,not evaluated
2021-09-23 23:36,115.25,not evaluated
2021-09-24 00:06,112.00,not evaluated
2021-09-24 00:36,112.06,not evaluated
2021-09-24 01:06,110.78,not evaluated
2021-09-24 01:36,113.82,not evaluated
2021-09-24 02:06,112.37,not evaluated
2021-09-24 02:36,107.20,not evaluated
2021-09-24 03:06,107.83,not evaluated
2021-09-24 03:36,106.34,not evaluated
2021-09-24 04:06,101.55,not evaluated
2021-09-24 04:36,102.57,not evaluated
2021-09-24 05:06,101.23,not evaluated
2021-09-24 05:36,99.68,not evaluated
2021-09-24 06:06,96.73,not evaluated
2021-09-24 06:36,99.49,not evaluated
2021-09-24 07:06,98.49,not evaluated
2021-09-24 07:36,98.90,not evaluated
2021-09-24 08:06,100.27,not evaluated
2021-09-24 08:36,97.74,not evaluated
2021-09-24 09:06,101.51,not evaluated
2021-09-24 09:36,99.69,not evaluated
2021-09-24 10:06,103.37,not evaluated
2021-09-24 10:36,100.94,not evaluated
2021-09-24 11:06,99.55,not evaluated
2021-09-24 11:36,99.46,not evaluated
2021-09-24 12:06,101.87,not evaluated
2021-09-24 12:36,101.11,not evaluated
2021-09-24 13:06,102.34,not evaluated
2021-09-24 13:36,103.58,not evaluated
2021-09-24 14:06,104.18,not evaluated
2021-09-24 14:36,108.02,not evaluated
2021-09-24 15:06,104.69,not evaluated
2021-09-24 15:36,106.85,not evaluated
2021-09-24 16:06,108.13,not evaluated
2021-09-24 16:36,106.96,not evaluated
2021-09-24 17:06,110.11,not evaluated
2021-09-24 17:36,108.44,not evaluated
2021-09-24 18:06,103.52,not evaluated
2021-09-24 18:36,105.64,not evaluated
2021-09-24 19:06,106.05,not evaluated
2021-09-24 19:36,105.43,not evaluated
2021-09-24 20:06,103.41,not evaluated
2021-09-24 20:36,106.95,not evaluated
2021-09-24 21:06,104.47,not evaluated
2021-09-24 21:36,102.70,not evaluated
2021-09-24 22:06,105.47,not evaluated
2021-09-24 22:36,104.05,not evaluated
2021-09-24 23:06,99.63,not evaluated
2021-09-24 23:36,101.52,not evaluated
2021-09-25 00:06,101.70,not evaluated
2021-09-25 00:36,102.55,not evaluated
2021-09-25 01:06,99.74,not evaluated
2021-09-25 01:36,98.84,not evaluated
2021-09-25 02:06,101.18,not evaluated
2021-09-25 02:36,99.88,not evaluated
2021-09-25 03:06,101.28,not evaluated
2021-09-25 03:36,98.41,not evaluated
2021-09-25 04:06,96.95,not evaluated
2021-09-25 04:36,98.31,not evaluated
2021-09-25 05:06,99.62,not evaluated
2021-09-25 05:36,99.73,not evaluated
2021-09-25 06:06,98.31,not evaluated
2021-09-25 06:36,102.93,not evaluated
2021-09-25 07:06,101.62,not evaluated
2021-09-25 07:36,100.56,not evaluated
2021-09-25 08:06,102.82,not evaluated
2021-09-25 08:36,101.81,not evaluated
2021-09-25 09:06,98.60,not evaluated
2021-09-25 09:36,100.73,not evaluated
2021-09-25 10:06,101.17,not evaluated
2021-09-25 10:36,100.46,not evaluated
2021-09-25 11:06,100.72,not evaluated
2021-09-25 11:36,100.72,not evaluated
2021-09-25 12:06,102.73,not evaluated
2021-09-25 12:36,100.66,not evaluated
2021-09-25 13:06,101.49,not evaluated
2021-09-25 13:36,100.29,not evaluated
2021-09-25 14:06,102.83,not evaluated
2021-09-25 14:36,106.42,not evaluated
2021-09-25 15:06,105.71,not evaluated
2021-09-25 15:36,105.36,not evaluated
2021-09-25 16:06,106.83,not evaluated
2021-09-25 16:36,106.82,not evaluated
2021-09-25 17:06,108.37,not evaluated
2021-09-25 17:36,108.26,not evaluated
2021-09-25 18:06,109.57,not evaluated
2021-09-25 18:36,110.65,not evaluated
2021-09-25 19:06,108.39,not evaluated
2021-09-25 19:36,112.06,not evaluated
2021-09-25 20:06,109.47,not evaluated
2021-09-25 20:36,112.98,not evaluated
2021-09-25 21:06,111.03,not evaluated
2021-09-25 21:36,110.88,not evaluated
2021-09-25 22:06,110.88,not evaluated
2021-09-25 22:36,111.41,not evaluated
2021-09-25 23:06,110.25,not evaluated
2021-09-25 23:36,109.18,not evaluated
2021-09-26 00:06,109.84,not evaluated
2021-09-26 00:36,111.69,not evaluated
2021-09-26 01:06,110.16,not evaluated
2021-09-26 01:36,111.86,not evaluated
2021-09-26 02:06,111.35,not evaluated
2021-09-26 02:36,110.25,not evaluated
2021-09-26 03:06,107.82,not evaluated
2021-09-26 03:36,111.94,not evaluated
2021-09-26 04:06,109.52,not evaluated
2021-09-26 04:36,109.69,not evaluated
2021-09-26 05:06,111.41,not evaluated
2021-09-26 05:36,109.08,not evaluated
2021-09-26 06:06,111.53,not evaluated
2021-09-26 06:36,109.87,not evaluated
2021-09-26 07:06,107.87,not evaluated
2021-09-26 07:36,109.85,not evaluated
2021-09-26 08:06,105.90,not evaluated
2021-09-26 08:36,105.95,not evaluated
2021-09-26 09:06,104.44,not evaluated
2021-09-26 09:36,103.67,not evaluated
2021-09-26 10:06,101.93,not evaluated
2021-09-26 10:36,97.96,not evaluated
2021-09-26 11:06,102.38,not evaluated
2021-09-26 11:36,100.25,not evaluated
2021-09-26 12:06,98.22,not evaluated
2021-09-26 12:36,97.68,not evaluated
2021-09-26 13:06,100.76,not evaluated
2021-09-26 13:36,100.22,not evaluated
2021-09-26 14:06,99.96,not evaluated
2021-09-26 14:36,101.70,not evaluated
2021-09-26 15:06,102.00,not evaluated
2021-09-26 15:36,101.41,not evaluated
2021-09-26 16:06,103.66,not evaluated
2021-09-26 16:36,106.47,not evaluated
2021-09-26 17:06,107.61,not evaluated
2021-09-26 17:36,106.87,not evaluated
2021-09-26 18:06,107.56,not evaluated
2021-09-26 18:36,105.98,not evaluated
2021-09-26 19:06,106.70,not evaluated
