%
% MASE-01 (34.142700 N -77.832600 E)
% The MASE-01 buoy is a Sofar Spotter wave buoy located approximately one-half mile off Masonboro Island, anchored in 24 ft of water. The buoy provides wave height, wave direction and wave period data, as well as sea surface temperature. The buoy transmits data once an hour. This station is not a permanent station and is being used to evaluate new technologies in ocean wave measurement. This buoy is supported through a partnership between CORMP, the UNCW Center for Marine Science and the Departments of Earth and Ocean Sciences and Physics and Physical Oceanography. Funding was provided by the UNCW College of Arts and Sciences. Please use caution when boating in the vicinity of the buoy.
%
% MASE-01 Peak wave direction (deg N) @ 0 m (depth)
%
Time (America/New_York),MASE-01 Peak wave direction (deg N),MASE-01 Peak wave direction (deg N) quality
2021-09-22 00:06,115.06,not evaluated
2021-09-22 00:36,112.79,not evaluated
2021-09-22 01:06,118.66,not evaluated
2021-09-22 01:36,117.74,not evaluated
2021-09-22 02:06,113.14,not evaluated
2021-09-22 02:36,113.46,not evaluated
2021-09-22 03:06,114.24,not evaluated
2021-09-22 03:36,113.09,not evaluated
2021-09-22 04:06,108.88,not evaluated
2021-09-22 04:36,82.60,not evaluated
2021-09-22 05:06,111.00,not evaluated
2021-09-22 05:36,116.70,not evaluated
2021-09-22 06:06,110.65,not evaluated
2021-09-22 06:36,54.88,not evaluated
2021-09-22 07:06,112.41,not evaluated
2021-09-22 07:36,111.17,not evaluated
2021-09-22 08:06,117.60,not evaluated
2021-09-22 08:36,119.53,not evaluated
2021-09-22 09:06,118.49,not evaluated
2021-09-22 09:36,117.30,not evaluated
2021-09-22 10:06,115.98,not evaluated
2021-09-22 10:36,126.77,not evaluated
2021-09-22 11:06,123.83,not evaluated
2021-09-22 11:36,119.01,not evaluated
2021-09-22 12:06,121.25,not evaluated
2021-09-22 12:36,124.19,not evaluated
2021-09-22 13:06,118.84,not evaluated
2021-09-22 13:36,120.58,not evaluated
2021-09-22 14:06,128.17,not evaluated
2021-09-22 14:36,122.94,not evaluated
2021-09-22 15:06,128.65,not evaluated
2021-09-22 15:36,121.88,not evaluated
2021-09-22 16:06,123.06,not evaluated
2021-09-22 16:36,123.92,not evaluated
2021-09-22 17:06,121.82,not evaluated
2021-09-22 17:36,121.68,not evaluated
2021-09-22 18:06,119.09,not evaluated
2021-09-22 18:36,122.65,not evaluated
2021-09-22 19:06,120.31,not evaluated
2021-09-22 19:36,122.50,not evaluated
2021-09-22 20:06,118.61,not evaluated
2021-09-22 20:36,111.79,not evaluated
2021-09-22 21:06,117.58,not evaluated
2021-09-22 21:36,116.95,not evaluated
2021-09-22 22:06,112.49,not evaluated
2021-09-22 22:36,121.47,not evaluated
2021-09-22 23:06,131.49,not evaluated
2021-09-22 23:36,114.67,not evaluated
2021-09-23 00:06,117.79,not evaluated
2021-09-23 00:36,119.24,not evaluated
2021-09-23 01:06,120.85,not evaluated
2021-09-23 01:36,121.95,not evaluated
2021-09-23 02:06,120.31,not evaluated
2021-09-23 02:36,118.56,not evaluated
2021-09-23 03:06,126.12,not evaluated
2021-09-23 03:36,114.72,not evaluated
2021-09-23 04:06,116.84,not evaluated
2021-09-23 04:36,109.99,not evaluated
2021-09-23 05:06,123.78,not evaluated
2021-09-23 05:36,120.22,not evaluated
2021-09-23 06:06,125.32,not evaluated
2021-09-23 06:36,120.11,not evaluated
2021-09-23 07:06,122.36,not evaluated
2021-09-23 07:36,129.05,not evaluated
2021-09-23 08:06,117.34,not evaluated
2021-09-23 08:36,136.26,not evaluated
2021-09-23 09:06,135.84,not evaluated
2021-09-23 09:36,127.75,not evaluated
2021-09-23 10:06,133.76,not evaluated
2021-09-23 10:36,118.82,not evaluated
2021-09-23 11:06,121.50,not evaluated
2021-09-23 11:36,116.73,not evaluated
2021-09-23 12:06,116.77,not evaluated
2021-09-23 12:36,120.56,not evaluated
2021-09-23 13:06,119.06,not evaluated
2021-09-23 13:36,108.85,not evaluated
2021-09-23 14:06,112.22,not evaluated
2021-09-23 14:36,119.47,not evaluated
2021-09-23 15:06,118.38,not evaluated
2021-09-23 15:36,118.86,not evaluated
2021-09-23 16:06,114.09,not evaluated
2021-09-23 16:36,119.20,not evaluated
2021-09-23 17:06,113.41,not evaluated
2021-09-23 17:36,120.11,not evaluated
2021-09-23 18:06,119.62,not evaluated
2021-09-23 18:36,119.73,not evaluated
2021-09-23 19:06,121.98,not evaluated
2021-09-23 19:36,117.37,not evaluated
2021-09-23 20:06,119.29,not evaluated
2021-09-23 20:36,117.38,not evaluated
2021-09-23 21:06,115.54,not evaluated
2021-09-23 21:36,116.86,not evaluated
2021-09-23 22:06,119.47,not evaluated
2021-09-23 22:36,121.55,not evaluated
2021-09-23 23:06,119.02,not evaluated
2021-09-23 23:36,119.87,not evaluated
2021-09-24 00:06,117.38,not evaluated
2021-09-24 00:36,117.02,not evaluated
2021-09-24 01:06,118.26,not evaluated
2021-09-24 01:36,120.72,not evaluated
2021-09-24 02:06,118.86,not evaluated
2021-09-24 02:36,115.98,not evaluated
2021-09-24 03:06,121.57,not evaluated
2021-09-24 03:36,122.62,not evaluated
2021-09-24 04:06,117.48,not evaluated
2021-09-24 04:36,123.93,not evaluated
2021-09-24 05:06,121.57,not evaluated
2021-09-24 05:36,115.56,not evaluated
2021-09-24 06:06,116.89,not evaluated
2021-09-24 06:36,121.29,not evaluated
2021-09-24 07:06,115.15,not evaluated
2021-09-24 07:36,113.54,not evaluated
2021-09-24 08:06,118.51,not evaluated
2021-09-24 08:36,114.86,not evaluated
2021-09-24 09:06,118.90,not evaluated
2021-09-24 09:36,116.40,not evaluated
2021-09-24 10:06,119.04,not evaluated
2021-09-24 10:36,120.73,not evaluated
2021-09-24 11:06,114.05,not evaluated
2021-09-24 11:36,109.70,not evaluated
2021-09-24 12:06,112.26,not evaluated
2021-09-24 12:36,111.71,not evaluated
2021-09-24 13:06,109.30,not evaluated
2021-09-24 13:36,114.80,not evaluated
2021-09-24 14:06,114.11,not evaluated
2021-09-24 14:36,115.17,not evaluated
2021-09-24 15:06,111.14,not evaluated
2021-09-24 15:36,119.02,not evaluated
2021-09-24 16:06,114.23,not evaluated
2021-09-24 16:36,116.27,not evaluated
2021-09-24 17:06,119.12,not evaluated
2021-09-24 17:36,118.63,not evaluated
2021-09-24 18:06,111.13,not evaluated
2021-09-24 18:36,115.16,not evaluated
2021-09-24 19:06,115.41,not evaluated
2021-09-24 19:36,112.46,not evaluated
2021-09-24 20:06,109.23,not evaluated
2021-09-24 20:36,111.83,not evaluated
2021-09-24 21:06,109.85,not evaluated
2021-09-24 21:36,114.53,not evaluated
2021-09-24 22:06,116.87,not evaluated
2021-09-24 22:36,113.30,not evaluated
2021-09-24 23:06,110.38,not evaluated
2021-09-24 23:36,110.67,not evaluated
2021-09-25 00:06,115.47,not evaluated
2021-09-25 00:36,114.88,not evaluated
2021-09-25 01:06,114.77,not evaluated
