%
% MASE-01 (34.142700 N -77.832600 E)
% The MASE-01 buoy is a Sofar Spotter wave buoy located approximately one-half mile off Masonboro Island, anchored in 24 ft of water. The buoy provides wave height, wave direction and wave period data, as well as sea surface temperature. The buoy transmits data once an hour. This station is not a permanent station and is being used to evaluate new technologies in ocean wave measurement. This buoy is supported through a partnership between CORMP, the UNCW Center for Marine Science and the Departments of Earth and Ocean Sciences and Physics and Physical Oceanography. Funding was provided by the UNCW College of Arts and Sciences. Please use caution when boating in the vicinity of the buoy.
%
% MASE-01 Significant wave height (m) @ 0 m (depth)
%
Time (America/New_York),MASE-01 Significant wave height (m),MASE-01 Significant wave height (m) quality
2021-09-22 00:06,1.28,not evaluated
2021-09-22 00:36,1.19,not evaluated
2021-09-22 01:06,1.17,not evaluated
2021-09-22 01:36,1.16,not evaluated
2021-09-22 02:06,1.19,not evaluated
2021-09-22 02:36,1.19,not evaluated
2021-09-22 03:06,1.13,not evaluated
2021-09-22 03:36,1.08,not evaluated
2021-09-22 04:06,1.11,not evaluated
2021-09-22 04:36,1.68,not evaluated
2021-09-22 05:06,1.23,not evaluated
2021-09-22 05:36,1.36,not evaluated
2021-09-22 06:06,1.33,not evaluated
2021-09-22 06:36,2.04,not evaluated
2021-09-22 07:06,1.58,not evaluated
2021-09-22 07:36,1.39,not evaluated
2021-09-22 08:06,1.27,not evaluated
2021-09-22 08:36,1.34,not evaluated
2021-09-22 09:06,1.29,not evaluated
2021-09-22 09:36,1.36,not evaluated
2021-09-22 10:06,1.38,not evaluated
2021-09-22 10:36,1.33,not evaluated
2021-09-22 11:06,1.49,not evaluated
2021-09-22 11:36,1.39,not evaluated
2021-09-22 12:06,1.28,not evaluated
2021-09-22 12:36,1.38,not evaluated
2021-09-22 13:06,1.48,not evaluated
2021-09-22 13:36,1.44,not evaluated
2021-09-22 14:06,1.40,not evaluated
2021-09-22 14:36,1.42,not evaluated
2021-09-22 15:06,1.37,not evaluated
2021-09-22 15:36,1.45,not evaluated
2021-09-22 16:06,1.38,not evaluated
2021-09-22 16:36,1.40,not evaluated
2021-09-22 17:06,1.48,not evaluated
2021-09-22 17:36,1.45,not evaluated
2021-09-22 18:06,1.36,not evaluated
2021-09-22 18:36,1.36,not evaluated
2021-09-22 19:06,1.33,not evaluated
2021-09-22 19:36,1.26,not evaluated
2021-09-22 20:06,1.25,not evaluated
2021-09-22 20:36,1.27,not evaluated
2021-09-22 21:06,1.35,not evaluated
2021-09-22 21:36,1.35,not evaluated
2021-09-22 22:06,1.30,not evaluated
2021-09-22 22:36,1.29,not evaluated
2021-09-22 23:06,1.28,not evaluated
2021-09-22 23:36,1.20,not evaluated
2021-09-23 00:06,1.18,not evaluated
2021-09-23 00:36,1.17,not evaluated
2021-09-23 01:06,1.20,not evaluated
2021-09-23 01:36,1.11,not evaluated
2021-09-23 02:06,1.16,not evaluated
2021-09-23 02:36,1.07,not evaluated
2021-09-23 03:06,1.08,not evaluated
2021-09-23 03:36,1.04,not evaluated
2021-09-23 04:06,1.10,not evaluated
2021-09-23 04:36,1.10,not evaluated
2021-09-23 05:06,1.06,not evaluated
2021-09-23 05:36,1.15,not evaluated
2021-09-23 06:06,1.15,not evaluated
2021-09-23 06:36,1.15,not evaluated
2021-09-23 07:06,1.15,not evaluated
2021-09-23 07:36,1.30,not evaluated
2021-09-23 08:06,1.34,not evaluated
