Location,Profile,Date,Time_UTC,Method,X,Y,Z_NAVD88,DBL
Carolina Beach,CB_01,20140504,14:40:39,Topo,2338770.77,114407.94,9.08,-48.96
Carolina Beach,CB_01,20140504,14:40:41,Topo,2338774.02,114407.07,8.95,-45.59
Carolina Beach,CB_01,20140504,14:40:42,Topo,2338776.73,114406.46,8.85,-42.82
Carolina Beach,CB_01,20140504,14:40:43,Topo,2338779.82,114405.72,8.83,-39.64
Carolina Beach,CB_01,20140504,14:40:44,Topo,2338782.78,114404.72,8.73,-36.52
Carolina Beach,CB_01,20140504,14:40:45,Topo,2338785.43,114404.37,8.73,-33.87
Carolina Beach,CB_01,20140504,14:40:45,Topo,2338788.56,114403.57,8.9,-30.64
Carolina Beach,CB_01,20140504,14:40:46,Topo,2338791.25,114402.9,9.07,-27.87
Carolina Beach,CB_01,20140504,14:40:47,Topo,2338795.21,114402.19,9.47,-23.85
Carolina Beach,CB_01,20140504,14:40:48,Topo,2338797.08,114401.48,9.9,-21.86
Carolina Beach,CB_01,20140504,14:40:49,Topo,2338800.1,114400.52,10.23,-18.7
Carolina Beach,CB_01,20140504,14:40:50,Topo,2338803.03,114400.03,10.77,-15.74
Carolina Beach,CB_01,20140504,14:40:51,Topo,2338805.76,114399.44,11.77,-12.95
Carolina Beach,CB_01,20140504,14:40:52,Topo,2338808.63,114398.51,12.62,-9.94
Carolina Beach,CB_01,20140504,14:40:54,Topo,2338811.6,114397.56,11.69,-6.83
Carolina Beach,CB_01,20140504,14:40:55,Topo,2338814.4,114396.74,10.5,-3.91
Carolina Beach,CB_01,20140504,14:40:56,Topo,2338817.37,114395.54,9.72,-0.74
Carolina Beach,CB_01,20140504,14:40:57,Topo,2338820.08,114394.77,9.23,2.08
Carolina Beach,CB_01,20140504,14:40:57,Topo,2338823.05,114394.24,8.88,5.09
Carolina Beach,CB_01,20140504,14:40:58,Topo,2338826.08,114393.6,8.72,8.18
Carolina Beach,CB_01,20140504,14:40:59,Topo,2338829.26,114393.54,8.74,11.28
Carolina Beach,CB_01,20140504,14:41:00,Topo,2338832.27,114393.42,8.63,14.23
Carolina Beach,CB_01,20140504,14:41:00,Topo,2338835.03,114392.8,8.58,17.06
Carolina Beach,CB_01,20140504,14:41:01,Topo,2338838.13,114391.5,8.52,20.38
Carolina Beach,CB_01,20140504,14:41:02,Topo,2338840.77,114390.17,8.42,23.26
Carolina Beach,CB_01,20140504,14:41:03,Topo,2338843.7,114389.15,8.35,26.35
Carolina Beach,CB_01,20140504,14:41:03,Topo,2338846.76,114388.59,8.32,29.46
Carolina Beach,CB_01,20140504,14:41:04,Topo,2338849.36,114387.74,8.27,32.19
Carolina Beach,CB_01,20140504,14:41:04,Topo,2338852.38,114386.76,8.22,35.35
Carolina Beach,CB_01,20140504,14:41:05,Topo,2338855.35,114385.76,8.3,38.48
Carolina Beach,CB_01,20140504,14:41:06,Topo,2338858.01,114385.2,8.52,41.19
Carolina Beach,CB_01,20140504,14:41:07,Topo,2338861.04,114384.98,8.97,44.19
Carolina Beach,CB_01,20140504,14:41:08,Topo,2338863.92,114384.49,9.77,47.1
Carolina Beach,CB_01,20140504,14:41:10,Topo,2338866.74,114383.44,11.22,50.09
Carolina Beach,CB_01,20140504,14:41:12,Topo,2338869.86,114382.39,10.88,53.37
Carolina Beach,CB_01,20140504,14:41:12,Topo,2338872.69,114381.33,10.16,56.37
Carolina Beach,CB_01,20140504,14:41:13,Topo,2338875.33,114380.5,10.04,59.14
Carolina Beach,CB_01,20140504,14:41:14,Topo,2338878.15,114379.23,9.84,62.18
Carolina Beach,CB_01,20140504,14:41:15,Topo,2338881.21,114378.82,9.34,65.25
Carolina Beach,CB_01,20140504,14:41:16,Topo,2338884.49,114379.08,9.13,68.37
Carolina Beach,CB_01,20140504,14:41:16,Topo,2338887.45,114378.79,8.89,71.31
Carolina Beach,CB_01,20140504,14:41:17,Topo,2338890.27,114378.46,8.81,74.13
Carolina Beach,CB_01,20140504,14:41:18,Topo,2338893.24,114378.04,8.93,77.11
Carolina Beach,CB_01,20140504,14:41:18,Topo,2338896.19,114377.12,9.11,80.19
Carolina Beach,CB_01,20140504,14:41:19,Topo,2338898.95,114375.67,9.3,83.22
Carolina Beach,CB_01,20140504,14:41:20,Topo,2338901.66,114374.62,9.46,86.11
Carolina Beach,CB_01,20140504,14:41:21,Topo,2338904.82,114374.39,9.47,89.23
Carolina Beach,CB_01,20140504,14:41:22,Topo,2338907.92,114373.99,9.34,92.33
Carolina Beach,CB_01,20140504,14:41:23,Topo,2338910.74,114373.27,9.14,95.24
Carolina Beach,CB_01,20140504,14:41:23,Topo,2338913.54,114372.9,9.08,98.05
Carolina Beach,CB_01,20140504,14:41:24,Topo,2338916.51,114372.42,9.08,101.05
Carolina Beach,CB_01,20140504,14:41:25,Topo,2338919.71,114371.94,8.86,104.27
Carolina Beach,CB_01,20140504,14:41:25,Topo,2338922.45,114371.22,8.61,107.1
Carolina Beach,CB_01,20140504,14:41:26,Topo,2338925.52,114370.19,8.35,110.33
Carolina Beach,CB_01,20140504,14:41:27,Topo,2338928.14,114369.4,8.36,113.06
Carolina Beach,CB_01,20140504,14:41:27,Topo,2338931.44,114368.35,8.61,116.52
Carolina Beach,CB_01,20140504,14:41:28,Topo,2338934.02,114367.39,9.33,119.25
Carolina Beach,CB_01,20140504,14:41:29,Topo,2338936.75,114366.52,10.82,122.11
Carolina Beach,CB_01,20140504,14:41:31,Topo,2338939.65,114365.62,12.23,125.15
Carolina Beach,CB_01,20140504,14:41:32,Topo,2338942.62,114364.97,13.48,128.18
Carolina Beach,CB_01,20140504,14:41:34,Topo,2338945.55,114364.6,14.32,131.12
Carolina Beach,CB_01,20140504,14:41:35,Topo,2338948.5,114363.99,14.27,134.13
Carolina Beach,CB_01,20140504,14:41:36,Topo,2338951.56,114363.74,13.35,137.16
Carolina Beach,CB_01,20140504,14:41:37,Topo,2338954.48,114363.3,12.22,140.1
Carolina Beach,CB_01,20140504,14:41:38,Topo,2338957.78,114363.37,10.96,143.28
Carolina Beach,CB_01,20140504,14:41:39,Topo,2338960.7,114362.95,9.63,146.22
Carolina Beach,CB_01,20140504,14:41:40,Topo,2338963.79,114363.01,8.35,149.2
Carolina Beach,CB_01,20140504,14:41:41,Topo,2338966.82,114363.11,7.78,152.12
Carolina Beach,CB_01,20140504,14:41:42,Topo,2338969.89,114363.27,7.43,155.06
Carolina Beach,CB_01,20140504,14:41:43,Topo,2338973.03,114363.32,7.09,158.09
Carolina Beach,CB_01,20140504,14:41:44,Topo,2338976.02,114362.85,6.92,161.11
Carolina Beach,CB_01,20140504,14:41:45,Topo,2338979.02,114361.62,6.77,164.31
Carolina Beach,CB_01,20140504,14:41:46,Topo,2338981.35,114359.65,6.61,167.05
Carolina Beach,CB_01,20140504,14:41:48,Topo,2338983.3,114354.97,6.48,170.08
Carolina Beach,CB_01,20140504,14:41:49,Topo,2338986.32,114354.07,6.31,173.22
Carolina Beach,CB_01,20140504,14:41:50,Topo,2338989.28,114353.36,6.25,176.27
Carolina Beach,CB_01,20140504,14:41:50,Topo,2338992.25,114352.58,6.1,179.34
Carolina Beach,CB_01,20140504,14:41:51,Topo,2338995.12,114352.22,6.08,182.21
Carolina Beach,CB_01,20140504,14:41:52,Topo,2338998.15,114351.5,6.03,185.32
Carolina Beach,CB_01,20140504,14:41:53,Topo,2339000.85,114350.73,5.95,188.13
Carolina Beach,CB_01,20140504,14:41:54,Topo,2339004.02,114350.38,5.88,191.29
Carolina Beach,CB_01,20140504,14:41:54,Topo,2339007.12,114349.93,5.78,194.41
Carolina Beach,CB_01,20140504,14:41:55,Topo,2339010.13,114349.58,5.72,197.41
Carolina Beach,CB_01,20140504,14:41:56,Topo,2339012.87,114349.39,5.71,200.12
Carolina Beach,CB_01,20140504,14:41:56,Topo,2339015.9,114348.87,5.56,203.18
Carolina Beach,CB_01,20140504,14:41:57,Topo,2339018.79,114348.1,5.44,206.17
Carolina Beach,CB_01,20140504,14:41:58,Topo,2339021.49,114347.01,5.33,209.06
Carolina Beach,CB_01,20140504,14:41:59,Topo,2339024.54,114346,5.21,212.26
Carolina Beach,CB_01,20140504,14:41:59,Topo,2339027.22,114345.1,5.19,215.08
Carolina Beach,CB_01,20140504,14:42:00,Topo,2339030.05,114343.65,5.14,218.18
Carolina Beach,CB_01,20140504,14:42:01,Topo,2339033.02,114342.51,5.21,221.33
Carolina Beach,CB_01,20140504,14:42:02,Topo,2339035.56,114341.37,5.3,224.07
Carolina Beach,CB_01,20140504,14:42:03,Topo,2339038.51,114340.15,5.36,227.23
Carolina Beach,CB_01,20140504,14:42:03,Topo,2339041.31,114339.19,5.4,230.18
Carolina Beach,CB_01,20140504,14:42:04,Topo,2339044.32,114338.48,5.58,233.27
Carolina Beach,CB_01,20140504,14:42:05,Topo,2339046.98,114337.66,5.6,236.05
Carolina Beach,CB_01,20140504,14:42:06,Topo,2339050.37,114337.19,5.73,239.45
Carolina Beach,CB_01,20140504,14:42:07,Topo,2339053.42,114337.49,5.8,242.34
Carolina Beach,CB_01,20140504,14:42:08,Topo,2339056.3,114336.93,5.81,245.27
Carolina Beach,CB_01,20140504,14:42:09,Topo,2339059.42,114336.59,5.7,248.38
Carolina Beach,CB_01,20140504,14:42:09,Topo,2339062.12,114336.18,5.65,251.1
Carolina Beach,CB_01,20140504,14:42:10,Topo,2339065.22,114335.27,5.37,254.33
Carolina Beach,CB_01,20140504,14:42:11,Topo,2339068.2,114334.45,5.1,257.42
Carolina Beach,CB_01,20140504,14:42:12,Topo,2339071.06,114333.32,4.85,260.47
Carolina Beach,CB_01,20140504,14:42:12,Topo,2339073.88,114332.47,4.62,263.41
Carolina Beach,CB_01,20140504,14:42:13,Topo,2339076.9,114332.15,4.37,266.42
Carolina Beach,CB_01,20140504,14:42:14,Topo,2339079.84,114331.35,4.13,269.46
Carolina Beach,CB_01,20140504,14:42:14,Topo,2339082.7,114330.75,3.93,272.38
Carolina Beach,CB_01,20140504,14:42:15,Topo,2339085.49,114329.9,3.68,275.29
Carolina Beach,CB_01,20140504,14:42:16,Topo,2339088.24,114328.84,3.42,278.22
Carolina Beach,CB_01,20140504,14:42:17,Topo,2339091.07,114327.96,3.18,281.18
Carolina Beach,CB_01,20140504,14:42:17,Topo,2339094.12,114327.19,2.89,284.32
Carolina Beach,CB_01,20140504,14:42:18,Topo,2339096.97,114326.61,2.69,287.23
Carolina Beach,CB_01,20140504,16:29:11,Topo,2339099.97,114326.38,2.45,290.2
Carolina Beach,CB_01,20140504,16:29:11,Topo,2339102.8,114325.42,2.2,293.17
Carolina Beach,CB_01,20140504,16:29:12,Topo,2339105.47,114324.09,1.92,296.09
Carolina Beach,CB_01,20140504,16:29:13,Topo,2339108.33,114323.2,1.68,299.08
Carolina Beach,CB_01,20140504,16:29:13,Topo,2339111.35,114322.43,1.42,302.19
Carolina Beach,CB_01,20140504,16:29:14,Topo,2339114.4,114321.5,1.12,305.38
Carolina Beach,CB_01,20140504,16:29:15,Topo,2339117.38,114320.71,0.84,308.46
Carolina Beach,CB_01,20140504,16:29:15,Topo,2339119.81,114319.76,0.62,311.05
Carolina Beach,CB_01,20140504,16:29:16,Topo,2339122.83,114318.9,0.39,314.19
Carolina Beach,CB_01,20140504,16:29:17,Topo,2339125.87,114318.32,0.14,317.28
Carolina Beach,CB_01,20140504,16:29:17,Topo,2339128.94,114317.57,-0.13,320.44
Carolina Beach,CB_01,20140504,16:29:18,Topo,2339131.59,114317.13,-0.34,323.11
Carolina Beach,CB_01,20140504,16:29:19,Topo,2339134.61,114316.47,-0.6,326.2
Carolina Beach,CB_01,20140504,16:29:19,Topo,2339137.77,114315.88,-0.83,329.41
Carolina Beach,CB_01,20140504,16:29:20,Topo,2339140.7,114315.29,-1.04,332.4
Carolina Beach,CB_01,20140504,16:29:21,Topo,2339143.27,114314.6,-1.19,335.06
Carolina Beach,CB_01,20140504,16:29:21,Topo,2339146.21,114313.98,-1.34,338.06
Carolina Beach,CB_01,20140504,16:29:22,Topo,2339149.3,114313.2,-1.56,341.25
Carolina Beach,CB_01,20140504,16:29:23,Topo,2339152.41,114312.7,-1.66,344.39
Carolina Beach,CB_01,20140504,16:29:24,Topo,2339155.27,114312.02,-1.86,347.33
Carolina Beach,CB_01,20140504,16:29:25,Topo,2339158.03,114311.38,-2.03,350.16
